bird.no,sample.type,head.length,midpiece.length,tail.length,total.length
10,pvl,9.23,30.91,28.94,68.08
10,pvl,9.04,30.55,28.49,68.08
10,pvl,8.98,31.28,28.11,68.37
10,pvl,9.13,31.12,28.14,68.39
10,pvl,9.1,30.8,28.79,68.69
10,pvl,9.13,31.39,28.28,68.8
10,pvl,9.31,30.02,28.47,68.8
10,pvl,9.27,30.8,27.77,68.84
10,pvl,9.03,30.06,28.88,68.97
11,faecal,11.36,31.96,11.71,55.03
11,faecal,11.41,32.39,11.68,55.48
11,faecal,11.09,32.64,12.17,55.9
11,faecal,10.99,32.68,12.5,56.17
11,faecal,10.82,31.9,14.76,57.48
11,faecal,10.85,32,14.88,57.73
11,faecal,10.72,31.59,16.79,59.1
11,faecal,10.78,31.68,16.8,59.26
11,faecal,10.9,32.15,17.57,60.62
11,faecal,10.88,32.46,17.7,61.04
11,pvl,10.85,31.39,16.79,59.03
11,pvl,10.88,31.29,16.87,59.04
11,pvl,10.97,31.68,16.8,59.45
11,pvl,11.03,32.08,16.5,59.61
11,pvl,10.95,32.44,16.88,60.27
11,pvl,10.82,31.92,17.75,60.49
11,pvl,10.8,32.13,17.57,60.5
11,pvl,11.12,32.34,17.21,60.67
11,pvl,11.01,32.64,17.11,60.76
11,pvl,10.78,32.68,17.7,61.16
12,faecal,9.85,35.82,21.9,67.57
12,faecal,9.92,36.35,22.01,68.28
12,faecal,9.83,26.36,32.28,68.47
12,faecal,9.95,26.48,32.17,68.6
12,faecal,10.41,34.61,24.08,69.1
12,faecal,10.5,34.81,23.86,69.17
12,faecal,12,32.19,28.66,72.85
12,faecal,9.61,38.37,24.91,72.89
12,faecal,11.67,31.98,29.44,73.09
12,faecal,9.81,38.2,25.13,73.14
12,pvl,9.7,27.49,26.9,64.09
12,pvl,10.06,28.08,27.73,65.87
12,pvl,10.27,28.04,32.28,67.59
12,pvl,9.81,27.47,30.6,67.88
12,pvl,10.21,28.13,29.57,67.91
12,pvl,9.82,27.47,30.74,68.03
12,pvl,9.99,28.45,31.88,68.32
12,pvl,9.7,30.06,31.23,68.89
12,pvl,10.04,29.47,29.6,69.11
